"Identity","SamAccountName","DisplayName","ObjectClass","EmployeeId","EmployeeNumber","UserPrincipalName","Mail","Department","Title","Company","Office","AccountEnabled","Manager","ManagerLevel1","ManagerLevel2","ObsPath","ObsAttribute","DistinguishedName"
"LAB\SSUser00020","SSUser00020","ShareSurfer User 00020","user","E0000020","0000020","SSUser00020@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.HR.UNIT191","info","CN=ShareSurfer User 00020,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0020-Readers","SS-ENT-0020-Readers","SS-ENT-0020-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0020.READ","info","CN=SS-ENT-0020-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00021","SSUser00021","ShareSurfer User 00021","user","E0000021","0000021","SSUser00021@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.LEGAL.UNIT201","info","CN=ShareSurfer User 00021,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0021-Readers","SS-ENT-0021-Readers","SS-ENT-0021-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0021.READ","info","CN=SS-ENT-0021-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00022","SSUser00022","ShareSurfer User 00022","user","E0000022","0000022","SSUser00022@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.SALES.UNIT211","info","CN=ShareSurfer User 00022,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0022-Readers","SS-ENT-0022-Readers","SS-ENT-0022-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0022.READ","info","CN=SS-ENT-0022-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00023","SSUser00023","ShareSurfer User 00023","user","E0000023","0000023","SSUser00023@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.MKT.UNIT221","info","CN=ShareSurfer User 00023,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0023-Readers","SS-ENT-0023-Readers","SS-ENT-0023-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0023.READ","info","CN=SS-ENT-0023-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00024","SSUser00024","ShareSurfer User 00024","user","E0000024","0000024","SSUser00024@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.RISK.UNIT231","info","CN=ShareSurfer User 00024,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0024-Readers","SS-ENT-0024-Readers","SS-ENT-0024-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0024.READ","info","CN=SS-ENT-0024-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00025","SSUser00025","ShareSurfer User 00025","user","E0000025","0000025","SSUser00025@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.FIN.UNIT241","info","CN=ShareSurfer User 00025,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0025-Readers","SS-ENT-0025-Readers","SS-ENT-0025-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0025.READ","info","CN=SS-ENT-0025-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00026","SSUser00026","ShareSurfer User 00026","user","E0000026","0000026","SSUser00026@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.ENG.UNIT001","info","CN=ShareSurfer User 00026,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0026-Readers","SS-ENT-0026-Readers","SS-ENT-0026-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0026.READ","info","CN=SS-ENT-0026-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00027","SSUser00027","ShareSurfer User 00027","user","E0000027","0000027","SSUser00027@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.OPS.UNIT011","info","CN=ShareSurfer User 00027,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0027-Readers","SS-ENT-0027-Readers","SS-ENT-0027-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0027.READ","info","CN=SS-ENT-0027-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00028","SSUser00028","ShareSurfer User 00028","user","E0000028","0000028","SSUser00028@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.HR.UNIT021","info","CN=ShareSurfer User 00028,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0028-Readers","SS-ENT-0028-Readers","SS-ENT-0028-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0028.READ","info","CN=SS-ENT-0028-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00029","SSUser00029","ShareSurfer User 00029","user","E0000029","0000029","SSUser00029@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.LEGAL.UNIT031","info","CN=ShareSurfer User 00029,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0029-Readers","SS-ENT-0029-Readers","SS-ENT-0029-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0029.READ","info","CN=SS-ENT-0029-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00030","SSUser00030","ShareSurfer User 00030","user","E0000030","0000030","SSUser00030@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.SALES.UNIT041","info","CN=ShareSurfer User 00030,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0030-Readers","SS-ENT-0030-Readers","SS-ENT-0030-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0030.READ","info","CN=SS-ENT-0030-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00031","SSUser00031","ShareSurfer User 00031","user","E0000031","0000031","SSUser00031@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.MKT.UNIT051","info","CN=ShareSurfer User 00031,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0031-Readers","SS-ENT-0031-Readers","SS-ENT-0031-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0031.READ","info","CN=SS-ENT-0031-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00032","SSUser00032","ShareSurfer User 00032","user","E0000032","0000032","SSUser00032@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.RISK.UNIT061","info","CN=ShareSurfer User 00032,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
